experiment_family,training_sequence,train_dataset_name,benchmark_dataset_name,experiment_id,prediction_mode,num_keypoints,train_hand,train_input_size,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,read_ms_mean,read_ms_std,prep_ms_mean,prep_ms_std,h2d_ms_mean,h2d_ms_std,forward_ms_mean,forward_ms_std,write_ms_mean,write_ms_std,e2e_ms_mean,e2e_ms_std
ablation,rhd,rhd,rhd,B0,coord,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,4.422989867888675,0.024862054087682342,2.751879718180588,0.08479777252731018,0.31777299896867667,0.011595179299214858,24.08072746576072,0.4422414314955518,0.8812187305680773,0.44108427716049603,33.174265831011084,0.8579004002986361
ablation,rhd,rhd,rhd,B0,fusion,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,4.88856911781461,0.6449509366445619,2.8022017615852652,0.13028552108844285,0.31940200352034653,0.01688558828052486,27.43351329266873,0.44894445067208355,0.6688496252204366,0.0942410223100763,36.80513825425216,1.3309189164920472
ablation,rhd,rhd,rhd,B0,heatmap,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,4.464223838490758,0.06916978796407285,2.7729087700165427,0.05916801790746959,0.326979774563623,0.003478287489164739,24.28188957514196,0.35280996068071474,0.6137397934788814,0.05228032677360577,33.194258836806114,0.5590753480468035
ablation,rhd,rhd,rhd,B1,coord,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,4.392340971780655,0.048890023789766715,2.73742862816155,0.04120046214727813,0.3071294371725517,0.011802169496380816,23.911881298987613,0.2935080814049618,0.5062738279347582,0.010414298969612159,32.501505573898484,0.3381477339446511
ablation,rhd,rhd,rhd,B1,fusion,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,4.490952235997928,0.08331630382963666,2.7434940429688557,0.054726302507284434,0.3108748433304997,0.01352811002018154,24.588159827937453,0.6099198490166011,0.5227963120859574,0.017118015456449975,33.30690200629755,0.7077955260819654
ablation,rhd,rhd,rhd,B1,heatmap,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,4.428450142890291,0.07140610207286323,2.740551440695105,0.03168557487772512,0.3114367350471,0.012867711307389618,23.996621643896958,0.33627395078560246,0.5048044744048732,0.007037724264622948,32.64287533410201,0.4555657354470606
ablation,rhd,rhd,rhd,E1,coord,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,4.344211132984315,0.016509845088375216,2.7728268222152996,0.019834823237204383,0.2908502614296392,0.003499923291635802,23.50094293278397,0.1699159775320001,0.5978710184527883,0.03699856032675953,32.1089152842302,0.24098777379496697
ablation,rhd,rhd,rhd,E1,fusion,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,4.49099847572308,0.058697215520185905,2.749402663253062,0.05006736908688546,0.2944376178245747,0.002585256180557369,27.13125781921645,0.26124649569296315,0.595950483438496,0.008117779447728068,35.84481951729526,0.22915006692848686
ablation,rhd,rhd,rhd,E1,heatmap,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,4.38605863945057,0.021051108400525487,2.747942709758926,0.02460723362591616,0.29226080484405265,0.0010117110843533856,23.598608299913593,0.06922231741194108,0.573486629845456,0.004409661182737052,32.18612593781715,0.08674822754736626
ablation,rhd,rhd,rhd,E2,coord,21,right,256,1.0,1.0,2.0,10.0,4.0,5,5,4.349182913054264,0.02500126088879369,2.771642726535243,0.017817761144325695,0.2903071543984727,0.001487898077744034,23.458910028390147,0.1213491903708229,0.5877495298356676,0.04253006964528825,32.096861040036934,0.2603679529581152
