experiment_family,training_sequence,train_dataset_name,eval_dataset_name,experiment_id,prediction_mode,shared_10_eval,train_num_keypoints,eval_num_keypoints,train_hand,train_input_size,tips_bases_only,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,metrics.sse_norm_mean,metrics.sse_norm_std,metrics.epe_norm_mean,metrics.epe_norm_std,metrics.pck_mean,metrics.pck_std,metrics.timing.ms_per_image_mean,metrics.timing.ms_per_image_std,metrics.timing.images_per_second_mean,metrics.timing.images_per_second_std
ablation,rhd,rhd,rhd,L1,fusion,False,21,21,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.35834798101455934,0.053399371618810546,0.07246053892926616,0.009581867453165088,0.9080820759791992,0.009213555615911322,1.3056124656125248,0.0022406893494956487,765.9258644940585,1.3145619615857564
ablation,rhd,rhd,rhd,L1,fusion,True,21,10,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.17571927997723352,0.025189094409356252,0.07193640428153923,0.007193774557256846,0.906686701728024,0.009148831397422523,1.3050899264618447,0.001922235668791643,766.2320567449306,1.130578234500217
ablation,rhd,rhd,rhd,L1,heatmap,False,21,21,right,256,False,1.5,0.5,2.0,10.0,2.0,5,5,0.2890648698527093,0.03043995015541032,0.08434853019121194,0.013237857348124264,0.941358198632067,0.006748351079000832,1.288471467071964,0.0024250359665585284,776.1156204091031,1.459797422829541
ablation,rhd,rhd,rhd,L2,coord,False,21,21,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.3098042125401259,0.02712179820663837,0.0817442831563257,0.004268659104400646,0.9115147168071317,0.009772442249197287,1.2766363164765044,0.0028128853788741445,783.3114794975011,1.7250287242904832
ablation,rhd,rhd,rhd,L2,fusion,False,21,21,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.30738492024259484,0.02601119118936697,0.08117347266014004,0.002167815900686956,0.9114891000845352,0.00952272849736664,1.7867714828945414,1.0446833233129502,661.0363773656205,216.79763571438957
ablation,rhd,rhd,rhd,L2,fusion,True,21,10,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.1495507693885009,0.013058900441291401,0.07891730127051062,0.0010318467461984994,0.9102930127723516,0.009975808431825479,1.7784980382453486,1.0491199685539683,665.7233854358999,219.21875703152463
ablation,rhd,rhd,rhd,L2,heatmap,False,21,21,right,256,False,0.5,1.5,2.0,10.0,2.0,5,5,0.5708399076965198,0.4057343279522704,0.10782214836876762,0.024527234612324884,0.8909803519737686,0.07974883480692706,1.289757345243196,0.002596710345752257,775.3421520438952,1.5575850407053013
ablation,rhd,rhd,rhd,S1,coord,False,21,21,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.32694878032829755,0.03824100181328487,0.070676399536039,0.004627927173023601,0.9117042805543459,0.008561877465518043,1.2751234591531613,0.0013942109307012358,784.238537675116,0.8579781955827397
ablation,rhd,rhd,rhd,S1,fusion,False,21,21,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.32524430487862077,0.038106122585470574,0.0707090248181982,0.005511914942260739,0.9115915669749212,0.008618350294295266,1.307021156144588,0.0029163983669943483,765.1016084225457,1.709649351098211
ablation,rhd,rhd,rhd,S1,fusion,True,21,10,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.15755253101199254,0.016938167455475092,0.0716663679647205,0.005234166449770882,0.911248255876355,0.009205945071838457,1.3065024780224233,0.003063962432252035,765.4056569539081,1.7899634821652088
ablation,rhd,rhd,rhd,S1,heatmap,False,21,21,right,256,False,1.0,1.0,1.5,10.0,2.0,5,5,0.44728201424970654,0.4056043330176135,0.09687365537222699,0.041225711269797266,0.9124522888541641,0.07012608948495419,1.2910123198918584,0.0029406723524617717,774.5891630874564,1.7650735294608184
ablation,rhd,rhd,rhd,S2,coord,False,21,21,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.3174434440751229,0.04908652935494363,0.08465950253966414,0.0071532653792248805,0.9175192765837539,0.008114223751961505,1.2735913595037203,0.005394828306075955,785.1924740199922,3.325056435237081
ablation,rhd,rhd,rhd,S2,fusion,False,21,21,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.31371164157593356,0.04881451466028128,0.08334999495874032,0.005777659288097886,0.917760073776161,0.008019642217845003,1.347441656400294,0.09205538521796257,744.6961321332531,46.63933927283425
ablation,rhd,rhd,rhd,S2,fusion,True,21,10,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.15342146059459955,0.02221303750155555,0.07989815568366096,0.004989270463049698,0.9164645272083287,0.006818096810565987,1.518390582508443,0.4745855201888851,696.9751098792034,153.5093528893004
ablation,rhd,rhd,rhd,S2,heatmap,False,21,21,right,256,False,1.0,1.0,3.0,10.0,2.0,5,5,0.27370584334446185,0.06444595787112664,0.08059876871410719,0.013105009926241184,0.9466096267643518,0.01320476080793546,1.2876720678421758,0.004192075153690337,776.6018179963054,2.525267562470475
ablation,rhd,rhd,rhd,W1,coord,False,21,21,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.32469484150584493,0.03776707049672294,0.07475070001087335,0.005908895289739051,0.9150805645925659,0.010095312795425066,1.2835595939756312,0.018547598216495157,779.2112979045185,11.062053863253038
ablation,rhd,rhd,rhd,W1,fusion,False,21,21,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.32120545135040784,0.03842882747035367,0.07370941562175225,0.005803200440691016,0.9150395778364115,0.00991043758530047,1.308507664413178,0.002997424843439542,764.2325868760128,1.750388152083841
ablation,rhd,rhd,rhd,W1,fusion,True,21,10,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.15643219336474048,0.016856813965343286,0.0720572938680572,0.003887521796003053,0.9140817859826125,0.010125058894048727,1.3107784655043457,0.01573201662750474,762.9924507810874,9.064241839297996
ablation,rhd,rhd,rhd,W1,heatmap,False,21,21,right,256,False,1.0,1.0,2.0,5.0,2.0,5,5,0.28685081692909564,0.07838176796698729,0.09567559167468273,0.04805445762777197,0.9434485231959423,0.006464520921414633,1.296799635388984,0.005195667734668656,771.1390225720496,3.080296293674009
ablation,rhd,rhd,rhd,W2,coord,False,21,21,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.30023255234589674,0.04385189612119968,0.07527440379876858,0.0027985635788879627,0.9141481158900531,0.012313154106420664,1.2756824989112154,0.0027704139248806085,783.8970622841441,1.6979889390653726
ablation,rhd,rhd,rhd,W2,fusion,False,21,21,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.29787118469864743,0.044140267273830136,0.07499767338352852,0.0031418425586396143,0.9140149089325511,0.012334373457144202,1.3090691082671153,0.002599526037226937,763.9040187673006,1.5159742933980307
ablation,rhd,rhd,rhd,W2,fusion,True,21,10,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.14564887339418583,0.02099242476260201,0.07546155995484316,0.002418453102164856,0.9124825587635504,0.011549986211636321,1.3117453292329029,0.014399270747613066,762.4162537994123,8.330575071566823
ablation,rhd,rhd,rhd,W2,heatmap,False,21,21,right,256,False,1.0,1.0,2.0,15.0,2.0,5,5,0.36302519530669686,0.2264124641439428,0.09221760911812293,0.022240263641794735,0.9230115019084458,0.042838918036399484,1.2926759554723228,0.0048892829910439405,773.5978905046877,2.912562438957695
transfer,coco_hand,coco_hand,coco_hand,C_ONLY,fusion,False,21,21,single,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.07639454909273095,0.0016049427575551512,0.06121774929995658,0.004897464275394851,0.9834097158570119,0.00069231046925506,1.2413907134243556,0.0012088026149656692,805.5487675663644,0.7851441891090538
transfer,coco_hand,coco_hand,rhd,C_ONLY,fusion,False,21,21,single,256,False,1.0,1.0,2.0,10.0,2.0,5,5,1.419410480432147,0.26189467908115865,0.16094598866640145,0.020725611773069634,0.33972897507492894,0.07175017643022473,1.3004406065819374,0.002485730324495762,768.9723861132613,1.4664919805493604
transfer,coco_hand-,rhd,coco_hand,C_TO_R,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,1.6426347777411507,0.2293178300347057,0.2678065270773494,0.011433751462228884,0.5320107096338462,0.016448353397797655,1.24217247855183,0.0026466000868505717,805.0441073363896,1.7164286460407772
transfer,coco_hand-,rhd,rhd,C_TO_R,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.45037875734815846,0.016171405943371034,0.10204120650351174,0.0038594181016319796,0.8190383482337269,0.011421732214892398,1.3212471719711059,0.0474272613041206,757.6062861966362,25.965637024511715
transfer,rhd,rhd,coco_hand,R_ONLY,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,3.7487812985409725,0.7985200032257211,0.3365035230651411,0.007509751009323747,0.3718570601572676,0.043421665788788436,1.2409456735206497,0.0018193887317420054,805.8384355072546,1.1817840464349347
transfer,rhd,rhd,rhd,R_ONLY,fusion,False,21,21,right,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.30910552264658236,0.026904755296808625,0.07639868507333462,0.003047459785858097,0.9142761995030355,0.009675589064212137,1.3037589212054732,0.0009483974116176482,767.0132928573361,0.5578436157068604
transfer,rhd-,coco_hand,coco_hand,R_TO_C,fusion,False,21,21,single,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.09798707560942815,0.0064375965759822075,0.0839944394408055,0.0017539985796230424,0.9837341405760046,0.0006735438320280564,1.241866396823982,0.0013766746575088141,805.2403909894423,0.8924906767154713
transfer,rhd-,coco_hand,rhd,R_TO_C,fusion,False,21,21,single,256,False,1.0,1.0,2.0,10.0,2.0,5,5,0.5699453948180346,0.05921234518657207,0.127591337777645,0.014922177838708538,0.7690242590362989,0.02206313457569251,1.302062677181274,0.003505882310313718,768.0166423401485,2.069895212371922
