Model,Read ms,Prep ms,H2D ms,Forward ms,Write ms,E2E ms
B0 fusion,4.89 +/- 0.64,2.80 +/- 0.13,0.32 +/- 0.02,27.43 +/- 0.45,0.67 +/- 0.09,36.81 +/- 1.33
B1 fusion,4.49 +/- 0.08,2.74 +/- 0.05,0.31 +/- 0.01,24.59 +/- 0.61,0.52 +/- 0.02,33.31 +/- 0.71
