experiment_family,training_sequence,train_dataset_name,benchmark_dataset_name,experiment_id,prediction_mode,num_keypoints,train_hand,train_input_size,lambda_hm,lambda_coord,heatmap_sigma,wing_w,wing_epsilon,n,num_seeds,forward_ms_mean,forward_ms_std,e2e_ms_mean,e2e_ms_std,images_per_second_mean,images_per_second_std,setup_ms_mean,setup_ms_std
ablation,rhd,rhd,rhd,B0,coord,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,24.08072746576072,0.4422414314955518,33.174265831011084,0.8579004002986361,30.15986444310109,0.774272280946475,906.0850846000903,186.99279426641996
ablation,rhd,rhd,rhd,B0,fusion,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,27.43351329266873,0.44894445067208355,36.80513825425216,1.3309189164920472,27.198212147052878,0.9711034493353603,1306.2585163997937,136.96059423867408
ablation,rhd,rhd,rhd,B0,heatmap,21,right,256,1.0,1.0,2.0,10.0,2.0,5,5,24.28188957514196,0.35280996068071474,33.194258836806114,0.5590753480468035,30.132395283760605,0.4975522026402083,935.935378999784,215.0059194688189
ablation,rhd,rhd,rhd,B1,coord,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,23.911881298987613,0.2935080814049618,32.501505573898484,0.3381477339446511,30.77048352196548,0.3217707787260145,974.0398091998941,192.44287229773832
ablation,rhd,rhd,rhd,B1,fusion,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,24.588159827937453,0.6099198490166011,33.30690200629755,0.7077955260819654,30.03475549984257,0.6440721579843214,1187.7049381995676,147.53600699774316
ablation,rhd,rhd,rhd,B1,heatmap,10,right,256,1.0,1.0,2.0,10.0,2.0,5,5,23.996621643896958,0.33627395078560246,32.64287533410201,0.4555657354470606,30.63934284453354,0.4287598156126373,1010.2971013999195,193.73202285225125
ablation,rhd,rhd,rhd,E1,coord,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,23.50094293278397,0.1699159775320001,32.1089152842302,0.24098777379496697,31.145394865047052,0.23261552834368612,997.1281057994929,159.1624352733183
ablation,rhd,rhd,rhd,E1,fusion,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,27.13125781921645,0.26124649569296315,35.84481951729526,0.22915006692848686,27.89894421055353,0.17794099525082907,1099.8600735991204,105.55267531879758
ablation,rhd,rhd,rhd,E1,heatmap,21,right,256,1.0,1.0,2.0,10.0,1.0,5,5,23.598608299913593,0.06922231741194108,32.18612593781715,0.08674822754736626,31.06946786630987,0.08365556157178865,1225.9812679993047,146.29260277577944
ablation,rhd,rhd,rhd,E2,coord,21,right,256,1.0,1.0,2.0,10.0,4.0,5,5,23.458910028390147,0.1213491903708229,32.096861040036934,0.2603679529581152,31.15732529168377,0.25128534263378766,1121.6401318008138,118.41855425928527
